Bankrupt?,ROA(C) before interest and depreciation before interest,ROA(A) before interest and % after tax,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Realized Sales Gross Margin,Operating Profit Rate,Pre-tax net Interest Rate,After-tax net Interest Rate,Non-industry income and expenditure/revenue,Continuous interest rate (after tax),Operating Expense Rate,Research and development expense rate,Cash flow rate,Interest-bearing debt interest rate,Tax rate (A),Net Value Per Share (B),Net Value Per Share (A),Net Value Per Share (C),Persistent EPS in the Last Four Seasons,Cash Flow Per Share,Revenue Per Share (Yuan ¥),Operating Profit Per Share (Yuan ¥),Per Share Net profit before tax (Yuan ¥),Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,After-tax Net Profit Growth Rate,Regular Net Profit Growth Rate,Continuous Net Profit Growth Rate,Total Asset Growth Rate,Net Value Growth Rate,Total Asset Return Growth Rate Ratio,Cash Reinvestment %,Current Ratio,Quick Ratio,Interest Expense Ratio,Total debt/Total net worth,Debt ratio %,Net worth/Assets,Long-term fund suitability ratio (A),Borrowing dependency,Contingent liabilities/Net worth,Operating profit/Paid-in capital,Net profit before tax/Paid-in capital,Inventory and accounts receivable/Net value,Total Asset Turnover,Accounts Receivable Turnover,Average Collection Days,Inventory Turnover Rate (times),Fixed Assets Turnover Frequency,Net Worth Turnover Rate (times),Revenue per person,Operating profit per person,Allocation rate per person,Working Capital to Total Assets,Quick Assets/Total Assets,Current Assets/Total Assets,Cash/Total Assets,Quick Assets/Current Liability,Cash/Current Liability,Current Liability to Assets,Operating Funds to Liability,Inventory/Working Capital,Inventory/Current Liability,Current Liabilities/Liability,Working Capital/Equity,Current Liabilities/Equity,Long-term Liability to Current Assets,Retained Earnings to Total Assets,Total income/Total expense,Total expense/Assets,Current Asset Turnover Rate,Quick Asset Turnover Rate,Working capitcal Turnover Rate,Cash Turnover Rate,Cash Flow to Sales,Fixed Assets to Assets,Current Liability to Liability,Current Liability to Equity,Equity to Long-term Liability,Cash Flow to Total Assets,Cash Flow to Liability,CFO to Assets,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Total assets to GNP price,No-credit Interval,Gross Profit to Sales,Net Income to Stockholder's Equity,Liability to Equity,Degree of Financial Leverage (DFL),Interest Coverage Ratio (Interest expense to EBIT),Equity to Liability
1.0,0.31097352898162106,0.353576101177497,0.343219658439959,0.6035327692817709,0.6035039421150489,0.998950484547292,0.7962787244953791,0.808239356887596,0.30162259730133506,0.7804294803832491,1.7744819335144945e-14,0.6673346693386774,0.44700267565822,1.8688737560624748e-13,0.0,0.153133032741983,0.153133032741983,0.153133032741983,0.162049730547414,0.308162976586263,3.4356113840736092e-12,0.09469912873544502,0.12510356255178098,0.0221284008256723,0.847749952756,0.688011332146405,0.688011332146405,0.217436127145314,0.4914914914914915,3.799592204773387e-14,0.261029131796318,0.357522074438359,5.320987510746654e-12,1.5276318036590575e-12,0.630515677867426,1.1841170771884205e-12,0.16679263536596398,0.8332073646340358,0.00655084002637255,0.382900937857176,0.00575034123037925,0.094728614001661,0.130578387753563,0.400838398602401,0.0599700149925038,5.541083583058789e-14,1.2034587736890234e-12,2.9825754025974874e-13,2.5670944611454355e-14,0.0219354838709677,6.098585383271339e-12,0.39013138554080606,2.608814203167722e-12,0.8219854802020659,0.45848023769757107,0.441517916722076,0.0590573167056764,1.665993063030374e-12,5.656032423428322e-13,0.057064389833484004,0.326455555477685,0.276979238120711,1.9785373359537838e-14,0.317549609928726,0.7386585733515351,0.329625936765749,2.81289143998587e-12,0.893682440067942,0.0020310460488,0.10160846809192099,2.6223967088973602e-14,2.7919416982857002e-14,0.5940254634844739,0.9470000000000001,0.671513634080211,1.519143128132933e-11,0.317549609928726,0.329625936765749,0.136528005253323,0.5956184253592961,0.452021565263104,0.488193305587346,0.304490461901126,0.0200397484578312,0.0,0.6776379910926209,1.2999615881882992e-12,0.624306821381982,0.603529037444385,0.8275215791172679,0.28331542374377,0.0267611077663433,0.565010922736598,0.0214433677440574
1.0,0.45463852191293297,0.518916266899259,0.507896568338776,0.592520791593998,0.592520791593998,0.9989229843075308,0.7973407642452979,0.809273774816917,0.303535644184398,0.7815305357964409,0.2872872872872873,0.0,0.460305477969855,2.7780555833361113e-13,0.0,0.186675656314525,0.186675656314525,0.186675656314525,0.20421669660584302,0.31237179033741197,2.2501752111724073e-11,0.0832994055858644,0.160352489267154,0.0218901696097216,0.8473003112833729,0.688899249317147,0.688899249317147,0.217539610483406,0.6906906906906907,4.40138598632626e-14,0.263447327318927,0.36415372005514,3.4330342466666544e-12,3.4456538956967827e-13,0.629354392405584,1.7419098895619819e-12,0.194153036853403,0.805846963146597,0.00710862457887725,0.37768937758760707,0.00536584771375646,0.0844691973227808,0.16031973455998802,0.414582616023354,0.163418290854573,1.6998211292390864e-13,3.923768815841634e-13,0.5645645645645646,1.5516155017365767e-13,0.055,3.5314443845941317e-12,0.388039619185455,2.722825050511421e-13,0.833465709704027,0.44487666579800206,0.835712894128479,0.159118523111923,5.492461281772233e-13,5.291674338062839e-13,0.16523361400645903,0.33800386067530297,0.277651817475199,1.2329441294657417e-12,0.8128526210986591,0.7418060653215159,0.338768268251663,4.1230475122347594e-13,0.92852831701681,0.00205928511721344,0.00858522379989793,2.0650520840182498e-14,1.09575543687047e-14,0.593969263856891,1.08562825026341e-14,0.6715779863573541,6.437711186029255e-12,0.8128526210986591,0.338768268251663,0.119840204040044,0.6537170357282621,0.4607003419224989,0.5480759265382039,0.317469550000279,0.0308788255700879,0.0,0.7873598238795408,4.558290152310162e-13,0.6225370634677421,0.5925225381877,0.8388923110442659,0.287335752950765,0.026518739095387003,0.56340830086542,0.0178813972294263
1.0,0.43338370789255604,0.4863715656345399,0.482038653032818,0.604404791075109,0.604404791075109,0.9989021858068721,0.797033095051105,0.8089753624954559,0.30304161160966897,0.7812527807087791,2.4030166301213812e-14,0.0156312625250501,0.46074499048002504,5.051010151520202e-13,0.0,0.161897939404155,0.161897939404155,0.161897939404155,0.178405975229271,0.31435240857324703,8.599044819904338e-12,0.0881035746274733,0.137531068765534,0.0220567813317626,0.8136434788975551,0.687764459260665,0.687764459260665,0.21750254098301103,0.5785785785785785,3.880633767355842e-14,0.26338904818518805,0.3734212585224099,1.1915435804908837e-12,1.4605841641037162e-13,0.6296437720031229,3.5805160989005533e-12,0.236418054841733,0.763581945158267,0.00486308152300155,0.39551940020085796,0.00648703324558838,0.088116989919716,0.136482919840133,0.413585862171986,0.0584707646176912,7.520042005579785e-14,8.879600285995447e-13,0.32932932932932935,0.5455455455455456,0.0343548387096774,8.636050378716652e-13,0.39044797720540003,1.92100950868907e-12,0.6850383923823571,0.13139997697354902,0.314496348274706,0.00100686842914073,1.4915250766997958e-13,0.322279792746114,0.17159032521125303,0.339306743674198,0.276579212325055,5.468902671962755e-13,0.693462982458509,0.7187497443520071,0.34825635751572304,1.0245874513136383e-12,0.9146354239981109,0.00207062755052616,0.0351695830522334,2.07515895530452e-14,0.867,0.593800844064535,0.0181,0.671571244490869,7.051983979340013e-11,0.693462982458509,0.34825635751572304,0.125187289715684,0.6421707660187671,0.45919177227714897,0.5544376746794929,0.314221841905995,0.0845608316360967,0.0,0.7631395421356921,5.957633435947983e-13,0.6228566808994511,0.6044050167773101,0.832636483240212,0.300589939390598,0.0265438391194202,0.563618819839729,0.0139679800095319
1.0,0.4175400965241551,0.470726122982992,0.460891910701858,0.600851842776633,0.600851842776633,0.9989347701245709,0.7971600915979891,0.809085639649155,0.303195090418354,0.7813266054566871,1.5047791999796697e-14,0.020440881763527055,0.45759962423357897,8.182636445462728e-13,0.0,0.17365471324428,0.17365471324428,0.17942775272849898,0.189845892029876,0.31219494942349896,7.697572445074536e-12,0.0924191841055289,0.148527528809219,0.0221021519334869,0.847878309150429,0.68581558883973,0.685898572292206,0.21717547921338604,0.6676676676676677,5.23453604389835e-14,0.262899503461781,0.368317126783652,5.6949474842086914e-12,1.6135365918393284e-12,0.629741030944782,6.908190587455463e-13,0.12688575142848502,0.8731142485715151,0.0070884633563941596,0.375775862647428,0.00787328166130448,0.0923917468692494,0.150509011386773,0.405191158364627,0.11544227886057,3.707943149565657e-14,1.7986500085142959e-12,2.059151390558198e-13,6.913738180017067e-14,0.032258064516129,6.633086879683802e-12,0.38692024151421295,1.1016093942907522e-12,0.8723581013207721,0.74874530255738,0.7236228170736121,0.146474350076685,1.7755933486173244e-12,9.205035443756052e-13,0.0872143669326299,0.33322803224345005,0.276981958284086,3.5873882075691315e-14,0.6471708147158609,0.7407280735851359,0.33020966557334197,5.386572475582925e-13,0.9110326377271,0.00206004563882754,0.0414688349942131,2.5326764772242004e-14,2.6885407386856498e-14,0.5940268384141639,1.3958568992528998e-14,0.671586739857727,9.928197881280024e-12,0.6471708147158609,0.33020966557334197,0.11705482776434802,0.6625362682814879,0.463193399460669,0.5339325255605399,0.317767994977656,0.0187290707565937,0.0,0.754696049372587,8.587854058908715e-13,0.62449134624619,0.600848102287272,0.83669343309094,0.27975901525614505,0.0265499510914533,0.5636681203125861,0.0292959823533781
1.0,0.4985131380100421,0.574465765372874,0.548102146795867,0.6093846841263211,0.6097378169186639,0.9989988988349371,0.7975936506153449,0.8093504610548492,0.303818673609548,0.7816739747553051,2.2907369513536734e-14,0.41482965931863724,0.46476938174681104,4.141828324246566e-13,0.144650268245774,0.17803716657536603,0.17803716657536603,0.17803716657536603,0.230405597050203,0.33026809082549297,1.0817668497957715e-11,0.10105040306164,0.195074188446185,0.0221282585980806,0.848031899205021,0.690824661620257,0.69583053163193,0.21799488075873896,0.06426426426426426,5.1390514305586285e-14,0.264547637363918,0.387578704221154,2.0177500509855166e-12,2.892781222750531e-13,0.631338611799838,2.0911725929675957e-12,0.206125102034646,0.7938748979653529,0.00506394291609864,0.38415462005936296,0.007048235351467291,0.10101454231602301,0.194103008822864,0.40857797790261,0.0779610194902549,6.395160375936272e-14,1.0439103123336177e-12,0.4184184184184184,0.9469469469469469,0.0385483870967742,1.8489150328179115e-12,0.39400963343208,2.394795038494504e-12,0.7430547013848942,0.21452636879562303,0.40121395719742,0.0383331813990114,3.26807614960025e-13,1.580580616266943e-13,0.133176513018159,0.34695201475611703,0.273346252042594,7.30503306137788e-13,0.61432374407111,0.730913866454203,0.33765831761890197,1.950801359996289e-12,0.9335191248645799,0.00226518943184412,0.0272856069431087,2.0193462149087e-14,1.08611605580685e-14,0.5939046194585861,0.529,0.6715724482633031,5.3489593155752764e-11,0.61432374407111,0.33765831761890197,0.13401662752043,0.643070647379558,0.459292055999742,0.606308229887085,0.314609337987586,0.0516132981351731,0.0,0.8015761629515079,6.067585605452678e-13,0.623370944938406,0.609384961077317,0.8408917000587081,0.289853808768185,0.0269794890610347,0.565920571480463,0.0166118309274561
0.0,0.43055623263296394,0.453172699520279,0.468761711012367,0.586351777915508,0.5863589847071881,0.9987334868570809,0.7970584113562029,0.80900153216239,0.30343872292096,0.781243938581178,1.1945631802915514e-14,0.10020040080160321,0.47104166142439,1.899179816971596e-13,0.0,0.15886393325186499,0.15886393325186499,0.15886393325186499,0.19816583152122502,0.32142604512980105,3.7711594347047026e-12,0.0831365523980132,0.156737214732244,0.0218239547642932,0.8473059579765571,0.651157503746951,0.651157503746951,0.216014169515384,0.40540540540540543,4.2944004251613077e-14,0.262992750075763,0.38267016877165505,6.559729922839564e-12,1.4764674254903143e-12,0.630551293817893,2.391720167529406e-13,0.0608882304924872,0.9391117695075129,0.00539433668757677,0.37044463779656106,0.00536584771375646,0.0832396958001531,0.155855516175251,0.39775033727524495,0.0914542728635682,1.0123934666791633e-13,6.596951507197841e-13,0.96996996996997,1.5675178568056257e-14,0.0225806451612903,7.328972483559535e-13,0.38704461681101704,5.129043758466134e-13,0.850688501339846,0.46277578474108294,0.54760098842712,0.30555885902012603,1.6699372993645125e-12,2.9064463453597206e-12,0.0574593513804741,0.365796508099709,0.277117583208735,8.977377467756398e-13,0.8651793213108558,0.737141959419446,0.32809142645761497,1.2002667545946333e-13,0.908881757119555,0.0018476870824089102,0.0248830619200172,1.9319409098892e-14,1.6739646241505002e-14,0.5940089474807879,2.9774501996564397e-14,0.671574806779232,4.0896699299635103e-11,0.8651793213108558,0.32809142645761497,0.11168032693828801,0.64626100154657,0.46061362648180393,0.616163857347769,0.314958772851972,0.0162617179591824,0.0,0.740249069309677,2.1784509473909675e-13,0.620846351955866,0.586346982760687,0.836779625361996,0.276503277969828,0.0267723967755128,0.5650673278448829,0.0633621400227079
0.0,0.545995222541803,0.596489315307457,0.5943037635847739,0.6132979720088211,0.6132979720088211,0.99912992938909,0.7975835517613991,0.809467899062683,0.303527184722502,0.7817383959706851,1.549922575979059e-14,0.7625250501002003,0.470093857728794,0.0,0.160745014677599,0.18031267118958302,0.18031267118958302,0.18031267118958302,0.23437647726198396,0.326306854353823,8.533938481722185e-12,0.11554433678039201,0.18882277622957003,0.0220584722597962,0.8479968661793951,0.6893310460370029,0.6893310460370029,0.21758589509458803,0.6816816816816816,4.9213358135879423e-14,0.263735614767155,0.383424611601654,5.350713697957527e-12,1.352037279904247e-12,0.6306290324790071,3.327491004077153e-13,0.0784533059225444,0.921546694077456,0.00588704915648087,0.36963718146295005,0.00536584771375646,0.11551614636767801,0.187859135811779,0.40054231983741106,0.145427286356822,6.915938908178646e-14,9.637850399367657e-13,2.182325595975205e-14,4.573820219857948e-14,0.0304838709677419,1.1880404439910215e-12,0.397831347097533,3.4040959312850163e-13,0.8535324424476959,0.595645972729303,0.636833072962993,0.209426436538788,1.5088572620847393e-12,1.4049443474112021e-12,0.0816702107169592,0.36599189038583,0.277062975802861,4.019932090049567e-13,0.968694681901444,0.7377207363736451,0.32911667254699106,0.0,0.944496491142534,0.00245919473032063,0.0280041194457347,1.74124257546208e-14,1.68058516717329e-14,0.5939905068075639,1.5969889160255602e-14,0.6715851267684301,2.1400331795120917e-11,0.968694681901444,0.32911667254699106,0.11093323366346801,0.6646956841307089,0.46616881103687396,0.6305592858590511,0.317335967288341,0.0199290423102482,0.0,0.83353615463659,5.584785941849013e-14,0.62424537391945,0.613293348882832,0.8424167194811819,0.277178173210164,0.0267949750865738,0.5651765371163671,0.0490012902799165
0.0,0.506898064641934,0.5655255124291321,0.5617538412120561,0.608692832124995,0.608692832124995,0.9991032379799109,0.797538176088874,0.8094465466976221,0.303503498229193,0.7816985362208628,1.0776534116777476e-14,0.0,0.464343289465959,6.445088953339778e-13,0.0618483652191517,0.18216678606042702,0.18216678606042702,0.18216678606042702,0.22785288834263,0.323335927000071,7.447163452066258e-12,0.110170181581304,0.182345409354523,0.022122759131205004,0.848063767729676,0.689535878974809,0.689535878974809,0.217604756704135,0.8908908908908909,5.054800301141222e-14,0.264305196167564,0.381403449945978,2.1293934411210183e-12,5.151583756963683e-13,0.6321745592526129,1.476224365773521e-12,0.182694923965293,0.817305076034707,0.005102485611769771,0.38431678234242894,0.00536584771375646,0.109694334522123,0.18138903551768304,0.39874307195785796,0.0719640179910045,7.415886299131315e-14,9.009485722082352e-13,2.3640266753946944e-14,0.6966966966966966,0.0275806451612903,1.1863732527982179e-12,0.39690418579408004,2.280757929841693e-12,0.749491241112261,0.250554244626395,0.262240422449895,0.021855457556609,6.220558723778945e-13,1.437861532264228e-13,0.0832881487638537,0.34453067621216305,0.27381429632828397,1.3224358410414934e-13,0.428413047462087,0.731807798543014,0.331901051009412,4.161591537058375e-12,0.935564788995782,0.0024297557611327896,0.0123481698089545,1.63396160133516e-14,1.61784833647342e-14,0.5939128880781229,0.376,0.671584500844128,6.365316650608198e-11,0.428413047462087,0.331901051009412,0.13680504243302802,0.652108407616946,0.460561962787441,0.5874136813319599,0.316791136917587,0.0490269956313114,0.0,0.810394468265816,4.037519901266242e-13,0.620143784164992,0.608693063121188,0.841780351768456,0.28542108797687704,0.0271209204075902,0.566356810677202,0.0192451770752848
0.0,0.499829376492956,0.562036633231574,0.549333476096151,0.604642615200565,0.604743510284092,0.9990021341572621,0.7974555868312609,0.8093645223684249,0.303570448827627,0.7816258342828091,1.4561632565957158e-14,0.22845691382765532,0.46155691435377394,5.586417227581344e-13,0.18969531329081896,0.187265601955248,0.187265601955248,0.187265601955248,0.232580126689988,0.318455117776049,2.187572962920338e-11,0.10797166354531401,0.19108232281388898,0.0221066400041556,0.848055403565397,0.689494156418383,0.689494156418383,0.217603877336343,0.6686686686686687,5.795942776111448e-14,0.264073633742841,0.37365411124771797,2.6147698872588984e-12,5.947098593220075e-13,0.631044437747428,1.4373256564895674e-12,0.180790277231913,0.8192097227680871,0.00550562663568346,0.37221164750169394,0.00536584771375646,0.107699447945674,0.18654701757031894,0.41495103982594295,0.175412293853073,5.3744344527412327e-14,1.2404936750597533e-12,1.2260041253462763e-14,6.118620426564934e-14,0.0645161290322581,3.0863043361158796e-12,0.39569435336152503,5.920191956530481e-13,0.781138949079564,0.521986639979896,0.662214604575027,0.0104105198481498,6.251426867609093e-13,3.353098213426197e-14,0.170622565990813,0.34111446409791,0.277699974745444,4.727867039826539e-13,0.901514722762253,0.7351520084465178,0.33769507259298304,5.4158523236970857e-14,0.9378425686134321,0.0023223661223434103,0.0302593421314679,1.46840037197251e-14,1.1878183192148301e-14,0.593933123082655,0.0654,0.6715572924192579,1.740319514096322e-11,0.901514722762253,0.33769507259298304,0.11175648186384199,0.612011658712895,0.45489337583306605,0.567291809289288,0.30719370397496304,0.0402395252480826,0.0,0.8123203463099241,3.2867444177078817e-13,0.623684938319874,0.604638337542171,0.841980362191704,0.28514026831344297,0.026910881958037005,0.565671175750901,0.0194871870929887
0.0,0.5910398284015009,0.639391626689926,0.620108142834199,0.6027111950301971,0.6027111950301971,0.9990589833923971,0.7979280195192858,0.8096932706719542,0.30427717644431396,0.781980361494247,0.056056056056056056,0.0,0.49138672907073294,2.4547909336388186e-13,0.25377062455714106,0.17913277990813697,0.17913277990813697,0.17913277990813697,0.24231823768554397,0.333592700007074,4.988147140724934e-12,0.10210894878267199,0.199593281614823,0.0222382479355942,0.84815712639031,0.689485759970306,0.689485759970306,0.217603270074811,0.8668668668668669,5.418283745199164e-14,0.264351819474555,0.405703960359152,8.147017552916436e-12,1.694034312313532e-12,0.6306588265914169,2.766945924537274e-13,0.0682649575233546,0.931735042476645,0.0121595530782558,0.371267751178193,0.00701350297357902,0.10208119595485901,0.19868034084910602,0.398300963394751,0.0989505247376312,8.728248200382084e-14,7.644811038871941e-13,0.4264264264264264,2.0468602738867568e-13,0.022741935483871,1.7204746233244042e-11,0.44163406526310994,1.2991732226794462e-12,0.8603485778246379,0.419727046822275,0.546220533523057,0.129170615639759,1.885096493290193e-12,1.52483969557571e-12,0.0462057659954237,0.39721367720978706,0.27715481223110305,1.5401568832099293e-12,0.6219002100131861,0.7378300837404209,0.327766512380799,0.0,0.9500396263504559,0.0038101039822799796,0.006079874931011539,2.45239462457003e-14,1.9187341801172103e-14,0.5940442443571551,1.57703520821019e-14,0.6716152361531639,3.5236989546937017e-12,0.6219002100131861,0.327766512380799,0.11093323366346801,0.68843009413326,0.475707321871835,0.6937610708880589,0.320099229790495,0.0130773804460049,0.0,0.85224130130811,8.61317548480442e-14,0.6250480930558621,0.6027095632523439,0.843441392445495,0.276773947308933,0.0268020257196322,0.565209693956152,0.0564901491262311
